Source 		alpha delta parallax err_parallax mu_alpha* err_mu_alpha* mu_delta err_mu_delta Vr err_Vr Ref
IRAS5168+36 	80.0920 36.6324 .532 .053  .23 1.07  -3.14 .28  -15.5 1.9   1 
NMLCyg 		311.6064 40.1165 .620 .047  -1.55 .42  -4.59 .41  -.1 2   2 
IRAS20143+36 	304.0467 36.7167 .368 .037  -2.99 .16  -4.37 .43  7.0 3   3 
PZCas 		356.0137 61.7895 .390 .022  -3.20 .10  -2.50 .10  -36.1 .7   4 
IRAS22480+60 	342.4953 60.2991 .400 .025  -2.58 .33  -1.91 .17  -50.8 3.5   5 
RCW122 		260.0242 -38.9603 .296 .026  -.73 .04  -2.83 .50  -12.6 5   6 
Hubble4 	64.6960 28.3354 7.530 .030  4.30 .05  -28.90 .30  6.1 1.7   7 
HDE283572 	65.4952 28.3018 7.780 .040  8.88 .06  -26.60 .10  6.0 1.5   7 
TTauN 		65.4976 19.5351 6.820 .030  12.35 .04  -12.80 .05  7.7 1.2   8 
V773TauAB 	63.5538 28.2034 7.700 .190  8.30 .50  -23.60 .50  7.5 .5   9 
HPTau/G2 	68.9757 22.9037 6.200 .030  13.85 .03  -15.40 .20  6.8 1.8   10 
S1Oph 		246.6424 -24.3912 8.550 .500  -3.88 .69  -31.55 .50  3.0 3   11 
DoAr21Oph 	246.5126 -24.3934 8.200 .370  -26.47 .92  -28.23 .73  3.0 3   11 
EC95 		277.4912 1.2128 2.410 .020  .70 .02  -3.64 .10  9.0 3   12 
G074.03-1.71 	306.2796 34.8327 .629 .017  -3.79 .18  -4.88 .25  13.4 3   13 
G075.76+0.33 	305.4212 37.4248 .285 .022  -3.08 .06  -4.56 .08  -9.6 3   13 
G075.78+0.34 	305.4334 37.4437 .281 .034  -2.79 .07  -4.72 .07  3.4 3   13 
G076.38-0.61 	306.8562 37.3801 .770 .053  -3.73 3.00  -3.84 3.0  6.9 3   13 
G079.87+1.17 	307.6214 41.2649 .620 .027  -3.23 1.31  -5.19 1.31  -4.6 3   13 
G090.21+2.32 	315.5946 50.0523 1.483 .038  -.67 3.13  -.90 3.13  -6.2 3   13 
G092.67+3.07 	317.3405 52.3770 .613 .020  -.69 .26  -2.25 .33  -3.7 3   13 
G105.41+9.87 	325.7769 66.1153 1.129 .063  -.21 2.38  -5.49 2.38  -12.1 3   13 
IRAS20126+41 	303.6084 41.2257 .610 .020  -4.14 .13  -4.14 .13  -4.0 5   14 
W33Af1 		273.6435 -17.8644 .408 .025  .19 .08  -2.52 .32  34.9 5   15 
W33Af2 		273.6649 -17.8668 .396 .032  -.36 .08  -2.22 .13  37.0 5   15 
W33Mainf2 	273.5576 -17.9225 .343 .037  -.60 .11  -.99 .13  34.1 5   15 
G012.88+0.48 	272.9646 -17.5247 .340 .036  .12 .13  -2.66 .23  29.4 5   15 
IRAS05137+39 	79.3073 39.3722 .086 .027  .30 .10  -.89 .27  -26.0 3   16 
CygX-1 		299.5903 35.2016 .539 .033  -3.78 .06  -6.40 .12  15.5 5   17 
SgrB2N 		266.8330 -28.3720 .128 .015  -.32 .05  -4.69 .11  64.0 5   18 
SgrB2M 		266.8340 -28.3845 .130 .012  -1.23 .04  -3.84 .11  61.0 5   18 
