l [deg]		Vt [km/s]	err_Vt [km/s]
13.44		156.32		4.88
14.92		140.99		0.67
17.01		130.56		1.49
17.61		134.37		1.59
17.91		129.53		0.45
18.21		127.69		0.25
18.51		127.57		0.29
18.81		123.61		0.56
19.12		124.85		0.22
19.42		123.56		0.34
19.72		123.02		0.27
20.03		120.76		0.48
20.33		120.09		0.67
20.64		122.51		0.47
20.95		118.78		1.03
21.25		120.50		0.59
21.56		120.41		0.52
21.87		111.82		0.79
22.18		115.76		0.54
22.49		117.37		0.49
22.80		114.13		0.53
23.11		112.65		0.59
23.42		108.68		0.40
23.73		111.34		0.52
24.05		115.31		0.33
24.36		119.07		0.45
24.68		113.86		0.36
24.99		109.42		0.27
25.31		109.31		0.29
25.63		111.34		0.27
25.94		110.30		0.46
26.26		110.78		0.44
26.58		107.43		0.61
26.90		105.80		0.55
27.23		104.01		0.33
27.55		105.27		0.42
27.87		103.89		0.18
28.20		106.26		0.33
28.52		106.34		0.31
28.85		105.64		0.42
29.18		100.25		0.15
29.51		102.46		0.34
29.83		107.55		0.21
30.17		109.48		0.25
30.50		110.05		0.36
30.83		109.37		0.32
31.16		110.11		0.19
31.50		109.93		0.18
31.84		106.70		0.38
32.17		99.50		0.13
32.51		98.92		0.21
32.85		99.45		0.40
33.20		97.77		0.77
33.54		107.74		0.22
33.88		102.88		1.80
34.23		107.55		1.74
34.58		98.09		0.25
34.92		85.82		0.54
35.27		83.60		0.33
35.63		84.52		0.66
35.98		85.44		0.28
36.33		84.33		0.28
36.69		87.56		0.28
37.05		85.14		0.22
37.41		84.62		0.40
37.77		89.51		0.29
38.13		85.62		0.87
38.50		86.12		0.37
38.87		85.56		0.18
39.23		83.17		0.18
39.61		84.80		0.19
39.98		81.74		0.28
40.35		78.86		0.25
40.73		75.00		0.48
41.11		78.00		0.27
41.49		74.79		0.21
41.87		74.20		0.19
42.26		71.39		0.23
42.65		70.32		0.20
43.04		65.44		0.18
43.43		66.38		0.26
43.83		66.04		0.27
44.23		67.07		0.19
44.63		67.38		0.20
45.03		68.88		0.16
45.44		64.84		0.20
45.85		64.54		0.16
46.26		62.54		0.23
46.68		61.05		0.23
47.10		60.86		0.39
47.52		55.25		1.71
47.94		57.80		0.23
48.37		58.29		0.22
48.81		61.14		0.42
49.24		66.63		0.21
49.69		67.47		0.15
50.13		47.56		0.24
50.58		48.07		0.30
51.03		60.59		0.25
51.49		59.80		0.21
51.95		60.93		0.30
52.42		62.81		0.23
52.89		62.26		0.15
53.37		63.61		2.07
53.85		56.28		0.37
54.34		39.63		0.38
54.84		41.16		0.21
55.34		40.62		0.58
55.84		41.02		0.81
56.36		39.79		0.42
56.88		37.82		0.77
57.41		38.61		0.39
57.94		36.12		0.77
58.48		41.39		0.52
59.04		27.61		0.23
59.60		30.45		0.50
60.17		29.04		0.38
60.75		32.50		0.64
61.34		23.05		0.30
61.95		30.80		0.57
62.56		26.71		1.20
63.19		26.87		0.58
63.83		22.97		0.86
64.49		23.16		0.27
65.16		17.75		0.75
65.85		19.96		0.43
66.56		18.02		0.49
67.29		12.43		0.57
68.05		16.23		2.84
68.83		14.66		0.69
69.64		17.85		1.58
70.48		12.26		0.18
71.35		11.71		0.15
72.27		6.03		0.17
73.24		5.15		0.16
74.26		6.21		0.29
75.35		2.60		0.35
76.53		1.00		0.25
77.82		2.61		0.32
79.27		11.25		0.13
80.93		8.36		0.46
82.98		8.68		0.21
85.95		4.08		0.10
