Id 	RA J2000 Dec 			Ks 	(J-Ks) 	(H-Ks) 	E(B-V) 	I   $d_{\odot}$	dGC 	z
1 	0  35  37.5     58 00  24.3 	4.93 	1.95 	0.68 	0.43 	9.02 	3.6 	10.0 	-0.30
2 	0  46  17.9     59  37  40.1 	4.91 	1.89 	0.62 	0.58 	9.10 	3.3 	9.8 	-0.19
3 	1  18  52.8     58 09  31.0 	4.68 	2.10 	0.73 	0.49 	8.99 	3.4 	10.0 	-0.26
4 	1  25  18.9     57  39  18.0 	5.19 	2.01 	0.65 	0.56 	9.48 	4.0 	10.5 	-0.34
5 	1  34  16.1     57  43  27.6 	5.00 	1.80 	0.60 	0.59 	9.11 	3.3 	10.0 	-0.27
6 	1  42  08.7     57  55  32.1 	6.25 	1.73 	0.57 	0.51 	10.20 	5.8 	12.2 	-0.43
7 	1  43  58.3     58  41 05.0 	4.89 	1.92 	0.69 	0.56 	9.09 	3.3 	10.1 	-0.20
8 	1  50  55.6     57  28  51.0 	5.54 	1.62 	0.54 	0.32 	9.19 	4.3 	10.9 	-0.34
9 	1  52  15.5     56  58 02.5 	5.54 	1.66 	0.59 	0.30 	9.21 	4.4 	11.1 	-0.38
10 	2 06  39.6     56  51 06.2 	4.89 	2.13 	0.85 	0.43 	9.16 	3.9 	10.6 	-0.30
11 	2  10  16.1     58  14  27.0 	7.32 	2.01 	0.68 	0.62 	11.67 	10.3 	16.5 	-0.55
12 	2  20  57.6     56  23  20.1 	6.19 	2.14 	0.81 	0.49 	10.54 	6.9 	13.4 	-0.52
13 	2  29  39.7     56  11  30.2 	5.50 	1.84 	0.62 	0.45 	9.50 	4.4 	11.3 	-0.32
14 	2  32  46.3     56  29  27.0 	5.99 	1.74 	0.65 	0.52 	9.97 	5.2 	11.9 	-0.33
15 	2  35  17.1     56 08  44.7 	4.41 	1.96 	0.78 	0.55 	8.64 	2.7 	9.8 	-0.18
16 	2  38 08.6     56  21 04.2 	6.09 	2.28 	0.80 	0.60 	10.68 	6.6 	13.3 	-0.41
17 	4  30 01.3     41  50  27.7 	3.96 	2.13 	0.82 	0.56 	8.37 	2.4 	9.9 	-0.19
18 	4  30  55.8     41  34  15.1 	4.92 	2.01 	0.70 	0.59 	9.24 	3.5 	10.9 	-0.28
