ID   	l		b		Name   	PK	HelioVel(km/s) HelioVelUncert(km/s)
1	359.9997	-06.8506	H1-62	359- 6 1 	-86.6 	4.7
2	000.1661	+17.2484	PC12 	0+ 17 1 	-60.3	15.0
3	000.1907	+04.3733	H1-16 	0+ 4 2 	55.6 	7.3
4	000.1238	-01.1458	M3-43 	0- 1 1 	-7.3 	4.7
5	000.2053	-02.3420	Bl3-10 	0- 2 2	-109.0	40.0
6	000.1551	-05.6171	H2-40 	0- 5 1 	-54.3 	4.1
7	000.1193	-08.0970	SB1 	  	-54.0	15.0
8	000.2313	-01.9301	M2-19 	0- 1 5 	-61.2	12.0
9	000.2598	-04.6385	Wray16-363 	0- 4 3 	121.4	14.0
10	000.3618	+12.2146	IC4634 	0+ 12 1 	-36.3 	2.3
11	000.3662	+06.9368	Trz41 	  	5.8	14.6
12	000.3927	-02.8291	M3-47 	0- 2 5 	-16.0 	5.0
13	000.3586	-04.6595	M2-28 	0- 4 1 	-29.9 	8.7
14	000.4136	-01.9898	M2-20 	0- 1 6 	58.7	15.0
15	000.4838	-02.9270	M3-19 	0- 2 6 	141.7	15.0
16	000.5758	-01.6399	Al2-Q 	0- 1 7 	-67.0	15.0
17	000.5540	-03.1205	KFL1 	  	-52.8	14.0
18	000.6020	-02.3778	H2-32 	0- 2 3 	128.7	15.0
19	000.5983	-05.3918	SB2 	  	3.0	15.0
20	000.7125	+04.7028	H2-11 	0+ 4 1 	10.2 	6.1
21	000.7255	+03.2471	He2-250 	0+ 3 1	-175.1 	8.0
22	000.7027	-02.7611	M2-21 	0- 2 4	-164.5 	2.0
23	000.7121	-03.7918	M3-22 	0- 3 1 	-56.2 	4.9
24	000.7782	-06.1846	SB3 	  	68.0	15.0
25	000.7685	-07.4840	M2-35 	0- 7 1 	-30.1	10.2
26	000.8976	-07.6578	H2-46 	0- 7 2 	47.9	39.8
27	000.9497	-02.0869	Bl3-13 	0- 2 1 	246.0	35.8
28	000.9242	-04.8533	M3-23 	0- 4 2	-153.0 	0.8
29	001.0732	-02.6162	Sa3-104 	1- 2 2 	87.0	40.0
30	001.1103	-06.4920	SB4 	  	21.0	15.0
31	001.2409	+02.1706	He2-262 	1+ 2 1	-172.4 	3.1
32	001.2950	-03.0405	H1-47 	1- 3 1 	107.5 	3.1
33	001.2150	-03.9008	ShWi2-5	358- 3 8	-129.6 	7.6
34	001.3005	-05.6662	SB5 	  	-31.0	15.0
35	001.4231	+05.3876	H1-15 	1+ 5 2 	33.0 	4.8
36	001.4423	-03.4091	ShWi1	358- 3 4 	-39.4 	6.1
37	001.5907	-06.7176	SwSt1 	1- 6 2 	-17.0 	1.6
38	001.6787	-05.9545	SB6 	  	31.0	15.0
39	001.7098	+05.7341	H1-14 	1+ 5 1 	60.3 	4.1
40	001.7721	-01.6074	H2-31 	1- 1 3 	120.0	40.0
41	001.7138	-04.4555	H1-55 	1- 4 1 	-35.6	32.6
42	001.7358	-04.6056	H1-56 	1- 4 2	-116.6 	2.0
43	001.7969	-03.8754	ShWi 7	358- 3 10	-222.0	15.0
44	002.0187	-02.0565	H1-45 	2- 2 1 	-19.2	18.3
45	002.0229	-06.2247	M2-33 	2- 6 1	-126.0 	2.0
46	002.1005	-13.4439	IC4776 	2-13 1 	16.3 	0.6
47	002.1393	-02.2301	M3-20 	2- 2 2 	24.3 	2.0
48	002.1157	-04.2043	H1-54 	2- 4 1	-137.4	13.0
49	002.2856	-02.5710	KFL2 	  	-80.3	55.2
50	002.2264	-02.7854	M2-23 	2- 2 4 	186.7 	0.3
51	002.2640	-06.3949	H1-63 	2- 6 2 	-29.4	10.3
52	002.2912	-09.4809	Cn1-5 	2- 9 1 	-30.9 	3.9
53	002.3525	-03.4125	H2-37 	2- 3 2	-156.8	14.0
54	002.3528	-07.8672	M2-41 	2- 7 1 	-26.2	14.7
55	002.4323	+05.8468	NGC6369 	2+ 5 1	-100.9 	1.6
56	002.4833	-03.7454	M1-38 	2- 3 5 	-82.8 	9.1
57	002.5819	-01.7716	Pe2-11 	2- 1 1 	155.0	40.0
58	002.5524	-05.4284	KFL14 	  	93.0	15.7
59	002.6222	+08.1904	H1-11 	2+ 8 1 	4.3 	0.6
60	002.6092	+05.5937	K5-3 	  	144.9 	7.1
61	002.6925	+04.2134	Th3-27 	2+ 4 1	-135.3	10.1
62	002.6068	+02.1082	K5-13 	  	237.2 	6.8
63	002.6812	-03.4687	M1-37 	2- 3 3 	220.5 	0.9
64	002.7385	-04.8516	M1-42 	2- 4 2 	-86.5 	0.2
65	002.7119	-52.4402	IC5148 	2-52 1 	-26.2 	3.6
66	002.7997	+01.7465	K5-16 	  	-32.6 	3.8
67	002.7970	+01.6944	H2-20 	2+ 1 1 	164.1 	8.8
68	002.9269	+06.5643	PM1-149 	  	70.0	15.0
69	002.9057	-04.0145	H2-39 	2- 3 6 	36.6	14.0
70	003.0017	-02.6393	KFL4 	  	17.0	15.0
71	003.1931	+03.4123	H2-17 	3+ 3 1 	85.4 	4.1
72	003.1709	+02.9286	Hb4 	3+ 2 1 	-60.0 	1.5
73	003.2610	-04.4265	KFL12 	  	100.5	23.5
74	003.2831	-06.1990	M2-36 	3- 6 1 	73.0 	2.0
75	003.3263	-04.6599	Ap1-12 	3- 4 7 	151.1 	5.8
76	003.3241	-06.1964	SB7 	  	-27.0	15.0
77	003.3097	-07.5233	KFL19 	  	47.0	10.2
78	003.4917	-04.8743	H2-43 	3- 4 9 	-15.6	27.1
79	003.5565	-02.4107	IC4673 	3- 2 3 	-15.3 	2.0
80	003.5320	-04.6218	NGC6565 	3- 4 5 	-5.9 	1.6
81	003.6772	+04.9587	PM1-159 	  	-85.5 	4.2
82	003.6181	+03.1846	M2-14 	3+ 3 2 	-48.2 	3.7
83	003.6540	-02.3549	M2-26 	3- 2 2 	-52.9 	6.9
84	003.7018	+07.9364	H2-8 	3+ 7 1 	26.3	39.1
85	003.7896	-04.6577	M2-30 	3- 4 8 	154.9 	2.9
86	003.8051	+05.3325	H2-15 	3+ 5 1 	-63.2 	3.7
87	003.8500	-04.3519	H1-59 	3- 4 3 	7.0	40.0
88	003.8584	-04.5762	H2-41 	3- 4 4 	26.3 	4.4
89	003.8951	-17.1953	Hb8 	3-17 1 	180.5 	3.0
90	003.8969	+02.6607	IRAS17414-2412 	  	14.3 	4.3
91	003.9233	-02.3230	M1-35 	3- 2 1 	67.9 	1.6
92	003.9377	-03.1264	KFL7 	  	-91.0	15.0
93	003.9646	-14.9035	Hb7 	3-14 1 	-65.3 	2.6
94	004.0874	-03.0049	M2-29 	4- 3 1	-112.2 	2.6
95	004.0424	-05.8058	Pe1-12 	4- 5 3 	159.2 	4.4
96	004.0076	-11.1018	M3-29 	4-11 1 	49.3 	2.4
97	004.1493	-03.8660	KFL11 	4- 3 B 	-39.2	31.2
98	004.2458	-03.2595	KFL10 	4- 3 A	-128.2	19.1
99	004.1992	-04.3987	H1-60 	4- 4 1 	24.4 	8.6
100	004.2667	-05.2214	SB8 	  	40.0	15.0
101	004.2758	-05.9161	M2-37 	4- 5 5 	59.1 	4.7
102	004.3113	+01.8456	H2-24 	4+ 1 1	-198.2 	4.1
103	004.3758	-02.6580	H1-53 	4- 2 1 	75.0 	5.0
104	004.5157	+06.8412	H2-12 	4+ 6 1	-176.8	12.0
105	004.6491	+06.0910	H1-24 	4+ 6 2 	158.1 	1.1
106	004.6100	-09.9302	SB9 	  	-22.0	15.0
107	004.7610	-05.5312	SB10 	  	54.0	15.0
108	004.7764	-11.8959	He2-418 	4-11 2 	109.3	15.1
109	004.8609	+02.0532	H2-25 	4+ 2 1 	16.2 	8.1
110	004.8065	-05.0237	M3-26 	4- 5 1 	-9.8	10.3
111	004.9393	+04.9362	M1-25 	4+ 4 1 	14.1 	2.0
112	004.9706	-04.9620	M1-44 	4- 4 2	-107.7	23.4
113	005.0083	+04.4894	H1-27 	5+ 4 1 	19.0 	4.9
114	005.0364	+03.0688	Pe1-9 	5+ 3 1	-129.2 	4.5
115	005.0229	-03.9446	H2-42 	5- 3 2	-118.7	14.0
116	005.1779	+02.0167	K5-19 	  	-79.6 	5.5
117	005.1299	-03.0816	H1-58 	5- 3 1 	74.0	40.0
118	005.1383	-08.9027	Hf2-2 	5- 8 1 	54.9	14.0
119	005.2074	+05.6859	M3-12 	5+ 5 1 	16.5 	1.2
120	005.2571	+04.2869	M3-13 	5+ 4 2 	127.2	14.0
121	005.2677	-05.9260	SB11 	  	95.0	15.0
122	005.2056	-18.6908	StWr2-21 	5-18 1 	194.4	40.0
123	005.4785	-06.1111	SB12 	  	25.0	15.0
124	005.5605	+06.1874	M3-11 	5+ 6 1 	-2.1	13.4
125	005.5585	+02.7094	H1-34 	5+ 2 1 	13.3	11.3
126	005.5464	-02.5093	M3-24 	5- 2 1 	119.2	20.1
127	005.5178	-04.0075	H2-44 	5- 4 1 	-56.9	14.0
128	005.6420	-04.7592	KFL16 	  	35.0	18.0
129	005.7754	-03.6302	KFL13 	  	-81.7	10.3
130	005.7306	-05.3511	M2-38 	5- 5 1 	-77.3 	8.0
131	005.8886	+05.1350	H2-16 	5+ 5 2 	-56.6 	4.7
132	005.8849	-06.1489	NGC6620 	5- 6 1 	69.6 	0.4
133	006.0797	+03.1526	M1-28 	6+ 3 2 	18.0 	5.0
134	006.0404	-03.6208	M2-31 	6- 3 3 	151.6 	0.2
135	006.1876	+08.3616	M1-20 	6+ 8 1 	59.9 	0.4
136	006.2900	-03.7570	KFL15 	  	127.8	19.4
137	006.3851	+04.4670	H2-18 	6+ 4 1	-113.4	14.0
138	006.3425	+03.3298	H2-22 	6+ 3 1 	-3.0	40.0
139	006.4545	+02.0150	M1-31 	6+ 2 5 	68.8 	1.8
140	006.4509	-04.6696	Pe2-13 	6- 4 1 	32.4 	4.3
141	006.5529	-03.1583	H1-61 	6- 3 1 	52.5 	5.0
142	006.5496	-05.8308	SB13 	  	57.0	15.0
143	006.7701	-02.2478	M1-41 	6- 2 1 	-5.9 	5.4
144	006.8026	+04.1606	M3-15 	6+ 4 2 	97.2 	0.7
145	006.8591	+02.3377	Th4-7 	6+ 2 3 	12.0	40.0
146	006.8978	+02.0267	Pe2-10 	6+ 2 4 	-39.0	40.0
147	006.8538	-03.4943	H2-45 	6- 3 2 	91.1	14.0
148	006.8442	-08.6683	Wray15-1876 	6- 8 1 	71.3	14.0
