l(deg)      Vr(km/s)
15  149.3
16  140.3
17  132.1
18  129.3
19  124.8
20  123.3
21  121.0
22  115.3
23  115.0
24  136.5
25  132.3
26  112.5
27  106.4
28  105.7 
19  105.9
30  108.7
31  132.2
32  107.0
33  103.8
34  102.4
35  96.6
36  89.0
37  89.0
38  88.0
39  86.4
40  77.3
41  76.2
42  72.1
43  74.2
44  69.5
45  67.4
46  66.2
47  67.6
49  66.7
50  65.4
51  63.7
52  63.1
53  62.8
54  54.3
55  45.6
56  45.4
57  40.0
58  39.9
59  38.8
60  36.2
61  33.5
62  30.7
63  40.9
64  25.6
65  24.9
66  20.3
67  24.1
68  15.2
69  16.4
70  14.1
71  11.8
72  11.5
73  11.3
74  9.8
75  8.1
76  9.6
77  9.2
78  13.2
79  15.4
80  12.2
81  13.1
82  15.1
83  27.0
84  36.6
85  9.8
86  10.9
87  9.0
88  22.9
89  9.7
271  -0.1
272  -0.2
273  -0.8
274  -0.5
275  -3.8
276  -3.2
277  -3.6
278  -5.9
279  -4.6
280  -5.6
281  -6.3
282  -8.8
283  -10.7
284  -12.6
285  -14.8
286  -17.5
287  -15.9
288  -15.9
289  -16.8
290  -10.0
291  -18.3
292  -21.2
293  -22.7
294  -24.3
295  -25.2
296  -28.8
297  -33.2
298  -33.7
299  -30.7
300  -35.4
301  -39.4
302  -41.6
303  -45.5
304  -45.5
305  -44.9
306  -41.0
307  -48.6
308  -56.0
309  -58.0
310  -60.0
311  -62.3
312  -60.7
313  -60.0
314  -61.2
315  -62.5
316  -60.7
317  -61.2
318  -62.0
319  -69.7
320  -72.5
321  -77.0
322  -79.5
323  -83.7
324  -83.0
325  -89.7
326  -91.9
327  -96.4
328  -103.1
329  -127.1
330  -124.5
331  -127.5
332  -125.9
333  -110.4
334  -112.4
335  -117.8
336  -124.8
337  -125.1
338  -123.0
339  -127.5
340  -128.4
341  -133.8
342  -138.0
343  -149.9
344  -149.5
345  -160.3
