No    	l (deg)	b(deg)	RA (h)		DEC(deg)	Name  		RA(h)  	 	DEC(deg)  	d(pc)
1	120.270	-2.543	00 30 00	+60 13.1	NGC129		00 30 00	+60 13 06	1625
2	124.939	-1.223	01 08 19	+61 35.0	NGC381		01 08 19	+61 35 00	1148
3	126.635	-4.383	01 19 35	+58 17.2	NGC457		01 19 35	+58 17 12	2429
4	135.051	-3.582	02 22 18	+57 08.2	NGC884		02 22 18	+57 08 12	2345
5	136.287	-2.645	02 33 21	+57 33.6	NGC957		02 33 21	+57 33 36	1815
6	152.590	-1.574	04 09 57	+49 30.9	NGC1513		04 09 57	+49 30 54	1320
7	152.057	+0.258	04 15 23	+51 12.9	NGC1528		04 15 23	+51 12 54 	776
8	187.695	-21.114	04 48 27	+10 56.2	NGC1662		04 48 27	+10 56 12 	437
9	173.319	-0.281	05 27 36	+34 25.0	Stock8		05 27 36	+34 25 00	1821
10	174.534	+1.072	05 36 18	+34 08.4	NGC1960		05 36 18	+34 08 24	1318
11	177.635	+3.091	05 52 18	+32 33.2	NGC2099		05 52 18	+32 33 12	1383
12	186.581	+2.171	06 08 48	+24 19.9	Kharchenko1	06 08 48	+24 19 54	2520
13	215.993	-10.102	06 20 49	-07 17.0	NGC2215		06 20 49	-07 17 00	1293
14	202.936	+2.196	06 40 58	+09 53.7	NGC2264		06 40 58	+09 53 42 	667
15	212.558	+0.279	06 51 45	+00 27.6	NGC2301		06 51 45	+00 27 36 	872
16	221.672	-1.331	07 02 42	-08 23.0	NGC2323		07 02 42	-08 23 00 	929
17	238.368	-6.792	07 14 10	-25 41.4	NGC2354		07 14 10	-25 41 24	4085
18	224.685	+0.384	07 14 30	-10 16.0	NGC2353		07 14 30	-10 16 00	1119
19	230.484	+3.537	07 37 06	-13 52.3	NGC2423		07 37 06	-13 52 18 	766
20	231.858	+4.064	07 41 46	-14 48.6	NGC2437		07 41 46	-14 48 36	1375
21	240.039	+0.135	07 44 30	-23 51.4	NGC2447		07 44 30	-23 51 24	1037
22	241.626	+2.035	07 55 12	-24 15.5	NGC2482		07 55 12	-24 15 30	1343
23	273.816	-15.856	07 58 04	-60 45.2	NGC2516		07 58 04	-60 45 12 	409
24	246.087	+1.855	08 04 58	-28 08.8	NGC2527		08 04 58	-28 08 48 	601
