Cluster   3D   3D+RV  Bulk-Vr-3D(km/s) Delta-Bulk-Vr-3D(km/s)  Bulk-Vr-3DRV(km/s)  Delta-Bulk-Vr-3DRV(km/s)  mu_a-cosd  Delt-mu_acosd  mu_d  Delta-mu_d  mu_lcosb  Delta-mu_lcosb  mu_b  Delta-mu_b  
     Berkeley86   2  -100000  -25.54       2.60      -100000         -100000      -3.80       1.27     -4.58       1.24     -5.88    1.25     0.90    1.26   
   Collinder205   1   6    27.40       4.07     28.18       1.52     -4.00       2.10      8.00       1.90     -8.08    1.90    -3.84    2.10   
   Collinder258   2   6    16.04       0.60     14.90       0.93     -0.90       2.62     -5.00       2.40      0.35    2.61    -5.07    2.41   
      Harvard10   3  -100000  -18.17       1.94      -100000        -100000        -3.88       1.07    -11.64       1.11    -11.99    1.11     2.58    1.07   
         IC2488   3  -100000   -1.84       1.52      -100000        -100000        -7.73       1.56      8.93       1.50     -9.84    1.50    -6.55    1.56   
         IC4651   9  10   -33.34       0.67    -33.30       0.67     -1.72       0.70     -2.76       0.69     -2.54    0.69     2.04    0.70   
         IC4756   7  13   -24.44       0.75    -25.08       0.64      0.68       0.74     -1.99       0.72     -1.95    0.72    -0.76    0.74   
    Kharchenko1   3  -100000   12.74       1.31      -100000         -100000        6.10       1.23     -1.91       1.29      3.54    1.29     5.32    1.23   
         Lynga1   1   6   -25.08       4.33    -24.31       0.52     -5.20       4.50     -7.70       4.10     -8.78    4.36    -3.03    4.25   
         Lynga2   4   6    -9.64       1.29     -9.94       0.60     -3.88       1.53     -8.61       1.50     -8.99    1.51    -2.89    1.52   
         NGC129   3  -100000  -39.41       0.54      -100000       -100000         -2.37       1.25     -1.32       1.25     -2.46    1.25    -1.15    1.25   
         NGC381   2  -100000  -29.76       1.32      -100000       -100000          0.63       2.87     -2.14       2.96      0.75    2.87    -2.10    2.96   
         NGC457   2  -100000  -32.99       0.60      -100000       -100000         -2.84       1.36     -0.04       1.35     -2.82    1.36    -0.31    1.35   
         NGC884   3  -100000  -19.35       1.16      -100000       -100000         -0.64       1.02      0.67       1.01     -0.81    1.02     0.44    1.01   
         NGC957   2  -100000  -34.34       1.20      -100000        -100000         0.16       1.35     -1.15       1.45      0.54    1.36    -1.03    1.44   
        NGC1513  1  -100000  -15.13       1.04      -100000        -100000         0.10       2.70     -5.40       2.60      3.60    2.66    -4.02    2.64   
        NGC1528   5  -100000  -16.90       0.48      -100000        -100000         1.29       0.82     -0.94       0.84      1.58    0.83     0.14    0.83   
        NGC1662   6  20   -12.16       1.35    -11.95       0.86     -1.54       0.73     -2.17       0.73      1.77    0.73    -1.98    0.73   
        NGC1960   8  -100000  -17.83       0.99      -100000        -100000         0.50       0.51     -4.50       0.55      4.25    0.54    -1.55    0.52   
        NGC2099   3  -100000    8.51       0.92      -100000        -100000         4.53       1.17     -7.43       1.21      8.61    1.20     1.25    1.18   
        NGC2215   3   4   -10.98       0.68    -10.74       0.66      5.07       1.29     -6.35       1.35      5.91    1.35     5.58    1.29   
        NGC2264   1   9    24.06       2.91     24.69       0.98     -0.40       2.00     -1.20       2.00      1.16    2.00    -0.51    2.00    
        NGC2301   2  -100000    8.25       1.14      -100000        -100000        -0.55       1.13     -6.20       1.13      6.20    1.13    -0.58    1.13   
        NGC2323   5   6    14.65       1.32     14.70       1.29      1.50       0.93     -3.93       0.99      3.82    0.99     1.76    0.93   
        NGC2353   3   7    20.16       0.61     18.78       1.44     -2.75       0.90     -2.18       0.89      2.37    0.89    -2.58    0.90   
        NGC2354   6   7    32.89       0.39     32.86       0.38     -9.27       1.25     -2.13       1.12      3.74    1.12    -8.74    1.25   
        NGC2423  20  -100000   22.48       0.94      -100000        -100000        -0.67       0.39     -3.04       0.39      3.08    0.39    -0.43    0.39   
        NGC2437  18  19    46.99       1.03     46.92       1.03     -4.75       0.47      0.09       0.47      0.27    0.47    -4.75    0.47   
        NGC2447  13  -100000   22.38       0.20      -100000        -100000        -5.23       0.61      4.33       0.58     -3.69    0.58    -5.70    0.61   
        NGC2482   4  -100000   34.88       1.31      -100000        -100000        -2.05       0.92      4.49       0.85     -4.26    0.85    -2.49    0.92   
        NGC2516   5  57    23.80       0.71     23.32       0.26     -4.20       0.59      9.68       0.59     -8.64    0.59    -6.07    0.59   
        NGC2527   5  10    38.73       0.56     39.17       0.67     -3.92       1.40      6.55       1.23     -6.14    1.23    -4.54    1.40   
        NGC2539   6   8    28.36       0.41     28.34       0.39     -3.82       0.85     -3.35       0.82      3.51    0.82    -3.68    0.85   
        NGC2546   7   9    18.74       0.57     21.12       1.32     -3.77       0.78      3.74       0.72     -3.31    0.72    -4.15    0.78   
        NGC2547   3   6    14.22       1.28     15.65       1.26     -6.74       0.73      3.54       0.72     -2.57    0.72    -7.17    0.73   
        NGC2548  10  -100000    8.39       0.34      -100000        -100000         0.61       0.48      1.43       0.50     -1.44    0.50     0.59    0.48   
        NGC2567   3   6    35.63       0.67     36.23       0.74     -3.83       1.90      1.78       1.69     -1.48    1.69    -3.96    1.90   
        NGC2579   2   5     1.50       0.44      1.65       0.38     -2.47       1.42      1.44       1.39     -1.23    1.39    -2.58    1.42   
        NGC2669   1   7    20.56       0.62     20.92       0.48     -3.30       1.30      6.20       1.30     -6.10    1.30    -3.48    1.30   
        NGC2670   1   7    15.74       3.44     17.20       0.83     -6.10       2.10      4.80       2.00     -4.62    2.00    -6.24    2.10   
        NGC2682  10  33    33.67       0.42     33.84       0.33     -7.87       0.61     -5.60       0.59      5.57    0.59    -7.88    0.61   
        NGC2925   2  -100000   -0.25       2.14      -100000        -100000       -12.79       1.55      3.60       1.45     -5.38    1.45   -12.15    1.55   
        NGC3680  10  11     1.06       0.36      1.04       0.35     -5.75       0.61      1.15       0.57     -4.45    0.59    -3.81    0.60   
        NGC5281   2   6   -19.62       0.57    -18.52       0.75     -9.35       1.67     -0.35       1.59     -8.25    1.65     4.40    1.61   
        NGC5316   8  -100000  -13.55       0.48      -100000        -100000        -5.27       1.06     -0.79       1.00     -4.80    1.04     2.30    1.02   
        NGC5460   5  -100000   -8.63       2.00      -100000        -100000        -5.91       0.56     -2.01       0.59     -5.59    0.58     2.78    0.58   
        NGC5617   3   6   -35.95       0.80    -36.60       0.86      1.15       2.96      1.79       2.74      2.11    2.83     0.27    2.87   
        NGC5662   2  -100000  -14.46       2.84      -100000        -100000        -2.20       1.72     -4.77       1.62     -5.15    1.66    -1.05    1.69   
        NGC5822  13  -100000  -29.46       0.49      -100000        -100000        -8.57       0.95     -8.85       0.88    -11.69    0.89     3.88    0.94   
        NGC5823   2   8   -30.09       3.23    -30.05       0.79     -4.69       3.24     -0.60       2.98     -2.57    3.03     3.97    3.19   
        NGC6025   6  -100000   16.10       0.97      -100000        -100000        -1.92       0.94     -2.42       0.93     -2.73    0.93     1.45    0.94   
        NGC6031   2   4    -6.23       1.76     -2.48       1.34     -1.65       2.38     -9.92       2.21    -10.05    2.21     0.13    2.38    
        NGC6067   4  -100000  -39.83       0.42      -100000        -100000        -2.69       1.10     -1.76       1.10     -2.09    1.10     2.44    1.10   
        NGC6124  10  11   -19.89       0.99    -19.87       0.98     -0.07       0.51     -3.42       0.52     -3.42    0.52    -0.16    0.51   
        NGC6134   7   9   -27.30       0.67    -27.41       0.59     -0.11       1.12     -6.97       1.09     -6.96    1.09    -0.38    1.12   
        NGC6167   3   5   -20.53       0.73    -21.32       0.41     -1.94       1.35     -1.55       1.31     -1.63    1.31     1.86    1.35   
        NGC6250   1   5    -7.98       0.99     -8.04       0.81     13.50       1.70    -11.20       1.70    -11.60    1.70   -13.15    1.70   
        NGC6281   6  11    -6.33       0.74     -6.36       0.60     -2.86       0.75     -3.66       0.76     -3.54    0.76     3.01    0.75   
        NGC6405   6  10    -8.27       0.45     -7.02       1.53     -1.49       0.63     -6.10       0.64     -5.89    0.64     2.18    0.63   
        NGC6416   6  10   -27.02       1.58    -27.52       0.94     -0.36       0.91     -0.14       0.99     -0.09    0.99     0.37    0.91   
        NGC6603   2   4    21.33       0.96     21.34       0.92      0.98       1.06      0.51       1.15      0.39    1.15    -1.03    1.06   
        NGC6705   4   6    30.48       1.42     30.87       1.14     -5.38       1.19     -0.35       1.25     -0.05    1.25     5.39    1.19   
        NGC6811   7  -100000    6.03       0.30      -100000        -100000       -5.31       0.67     -8.13       0.64     -9.67    0.65     0.92    0.66   
        NGC6866   2  -100000   12.18       0.75      -100000        -100000        -5.52       1.17     -7.97       1.09     -9.67    1.11     0.61    1.15   
        NGC6885   2   6    -1.60       0.99     -1.50       0.87     -2.90       1.41     -6.05       1.34     -6.70    1.35     0.41    1.40   
        NGC7209   6  -100000  -20.50       0.67      -100000        -100000         1.81       0.69     -0.04       0.66      1.44    0.68    -1.09    0.67    
        NGC7654  1  -100000  -57.39       2.14      -100000         -100000        0.40       5.00      0.60       5.20      0.55    5.02     0.46    5.18    
       Platais1   3  -100000  -26.73       0.40      -100000        -100000        -4.50       1.09     -3.78       1.08     -5.88    1.09     0.16    1.08   
    Ruprecht119   3   6   -12.77       1.34    -11.21       1.34      0.92       1.46     -1.25       1.44     -1.18    1.44    -1.00    1.46   
         Stock8   3  -100000  -18.01       1.50      -100000         -100000       -1.81       1.06     -4.23       1.07      2.90    1.07    -3.57    1.06   
     Trumpler10   2   8    27.62       3.10     32.17       0.76    -12.17       0.81      8.05       0.78     -7.81    0.78   -12.33    0.81 
