 l	b	Vlsr	...
  2.40   1.40     3.0  pbd+03    3.00   2.70  pbd+03   4.7    1.4    rus03  -100000    -100000    -100000   -100000     54.7  -100000   -100000     54.7  -100000   -100000     54.7 
  2.90  -0.00    -1.7  pbd+03    3.40   2.70  pbd+03  -100000    -100000  -100000     kout     hh09   18.7   10.3   143.3   17.4    9.4   136.6   18.2   9.7    140.7 
  4.30   0.60     6.6   rus03  -100000    -100000   -100000     1.3    0.4    rus03  -100000    -100000    -100000   -100000     28.0  -100000   -100000     28.0  -100000   -100000     28.0 
  6.00  -1.30     2.8  pbd+03   44.90   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     65.8  -100000   -100000     65.8  -100000   -100000     65.8 
  6.00  -1.20     3.6  pbd+03  113.40   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     89.5  -100000   -100000     89.5  -100000   -100000     89.5 
  6.20  -1.20     3.0  pbd+03    2.10   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     23.7  -100000   -100000     23.7  -100000   -100000     23.7 
  6.40  -0.50    19.0  pbd+03    4.00   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.8    4.8    52.3    3.5    4.5    49.5    3.6   5.0     50.4 
  6.50   0.10    14.1  pbd+03    0.50   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.1    5.4    22.8    2.9    5.1    21.8    2.9   5.6     21.8 
  6.60  -0.30    16.1  pbd+03   54.00   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.4    5.2   115.6    3.1    4.9   108.7    3.2   5.4    111.0 
  6.60  -0.10    13.4  pbd+03   11.10   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.0    5.5    62.7    2.8    5.2    59.9    2.8   5.7     59.9 
  6.70  -0.20    19.4  pbd+03    7.60   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    3.7    4.8    63.6    3.5    4.6    61.3    3.5   5.0     61.3 
  6.90  -2.10     5.4  pbd+03   15.40   2.70  pbd+03   1.6    0.25   rus03  -100000    -100000    -100000   -100000     46.0  -100000   -100000     46.0  -100000   -100000     46.0 
  7.00  -0.20    14.3  pbd+03   15.00   2.70  pbd+03   2.7    0.8    rus03   knear   pdd04    3.0    5.5    64.7  -100000   -100000     64.7  -100000   -100000     64.7 
  7.30  -0.10    17.9  pbd+03    1.70   2.70  pbd+03   2.7    0.8    rus03  -100000    -100000    -100000   -100000     31.3  -100000   -100000     31.3  -100000   -100000     31.3 
  8.40  -0.30    37.9  pbd+03    2.60   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    4.8    3.8    52.9    4.4    3.7    49.9    4.5   4.1     50.7 
  8.70  -0.40    41.8  pbd+03    1.80   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    4.9    3.7    47.5    4.6    3.5    45.5    4.7   4.0     46.2 
  8.70  -0.50    15.0   rus03  -100000    -100000   -100000     1.7    0.5    rus03  -100000    -100000    -100000   -100000   -100000    -100000   -100000   -100000    -100000   -100000  -100000    
 10.16  -0.35    12.5  swa+04   25.50   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   14.6    6.4   242.5   13.8    6.1   233.6   14.5   6.3    241.4 
 10.20  -0.30    13.6  pbd+03   55.90   2.70  pbd+03  -100000    -100000  -100000     kfar     gg76   14.5    6.3   307.5   13.6    5.9   294.6   14.4   6.2    306.1 
 10.31  -0.15     9.4  swa+04    8.70   4.86  swa+04   3.4    0.3    bdc01   knear   pmg08    1.6    6.9    64.1  -100000   -100000     64.1  -100000   -100000     64.1 
 10.46   0.03    70.2  swa+04    1.07   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   10.9    3.0    69.3   10.4    2.9    67.2   11.1   3.1     70.1 
 10.60  -0.40     0.2  pbd+03   10.50   2.70  pbd+03  -100000    -100000  -100000     kout     hh09   16.8    8.6   194.2  -100000   -100000   -100000     16.3   8.1    190.3 
 10.70  -0.50    -2.4  pbd+03    2.50   2.70  pbd+03  -100000    -100000  -100000     kout     hh09   17.4    9.2   123.2   16.2    8.5   117.5   16.8   8.6    120.4 
 10.96   0.02    17.7  swa+04    0.98   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   14.1    6.0    79.9   13.3    5.6    76.8   14.0   5.9     79.5 
 11.11  -0.40     2.1  swa+04    0.69   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   16.4    8.2    78.7   15.3    7.6    75.1   16.0   7.8     77.4 
 11.50  -1.00    12.0   rus03    3.20   2.70  pbd+03   1.6    0.2    rus03   knear   pdd04    2.5    6.0    27.3  -100000   -100000     27.3  -100000   -100000     27.3 
 11.93  -0.61    40.3  swa+04    1.64   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    4.2    4.5    42.3    3.9    4.2    40.3    4.0   4.7     40.9 
 11.99  -0.27    58.2   pmg08    0.07   1.40  ccg+98  -100000    -100000  -100000     kfar    pmg08   11.5    3.7    27.8   10.9    3.5    26.8   11.6   3.8     28.0 
 12.40  -0.00   -18.4  pbd+03    0.80   2.70  pbd+03  -100000    -100000  -100000     kout     hh09   22.6   14.4   100.3   20.8   13.1    94.9   20.9  12.7     95.2 
 12.40  -1.10    41.0  pbd+03    1.00   2.70  pbd+03  -100000    -100000  -100000     knear   pdd04    4.2    4.5    35.2    3.9    4.3    33.5    4.0   4.7     34.1 
 12.41   0.51    34.1  swa+04    0.11   4.86  swa+04  -100000    -100000  -100000     knear  swa+04    3.7    4.9    15.8    3.5    4.7    15.2    3.5   5.1     15.2 
 12.63  -0.02    33.5  swa+04    0.50   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   12.9    5.0    60.2   12.2    4.7    58.0   12.9   5.0     60.2 
 12.68  -0.18    57.4   pmg08    0.32   1.40  ccg+98  -100000    -100000  -100000     knear   pmg08    5.0    3.8    26.5    4.6    3.7    25.1    4.7   4.1     25.4 
 12.78   0.33    15.8  swa+04    0.37   4.86  swa+04  -100000    -100000  -100000     kfar   swa+04   14.5    6.4    58.9   13.6    6.0    56.4   14.3   6.3     58.4 
 12.80  -0.20    36.0  pbd+03   41.70   2.70  pbd+03  -100000    -100000  -100000     knear    gg76    3.8    4.9   114.2    3.6    4.6   110.2    3.6   5.1    110.2 
