R/R0	VT(km/s) -errVT	+errVT
0.077	232.209	-5.394	4.579
0.102	187.524	0.000	0.000
0.128	183.231	0.000	0.000
0.151	180.653	0.000	0.000
0.175	175.014	-5.044	3.976
0.200	157.507	-5.781	4.772
0.226	132.011	-5.527	3.901
0.252	134.625	0.000	0.000
0.275	136.487	0.000	0.000
0.303	135.228	0.000	0.000
0.326	115.455	0.000	0.000
0.350	117.571	0.000	0.000
0.377	111.539	0.000	0.000
0.400	103.564	0.000	0.000
0.427	103.818	0.000	0.000
0.450	99.414	0.000	0.000
0.477	99.454	0.000	0.000
0.499	98.366	0.000	0.000
0.525	101.393	0.000	0.000
0.551	97.241	0.000	0.000
0.574	88.860	0.000	0.000
0.598	85.154	0.000	0.000
0.628	79.519	0.000	0.000
0.649	79.190	0.000	0.000
0.675	67.976	0.000	0.000
0.699	67.530	0.000	0.000
0.725	62.233	0.000	0.000
0.750	62.214	0.000	0.000
0.775	59.343	0.000	0.000
0.797	61.573	0.000	0.000
0.827	42.461	0.000	0.000
0.849	35.652	0.000	0.000
0.877	29.561	0.000	0.000
0.899	20.809	0.000	0.000
0.927	6.393	0.000	0.000
0.949	10.118	0.000	0.000
0.978	7.032	0.000	0.000
