l        b      P   m(FW)  m(CC)    vr err_vr
40.9  -13.1  7.177  7.21  7.10  -14.8	1.
30.9  -11.6  7.024  8.98  8.84   1.1	1.
35.6  -2.3  17.138  11.39  11.39 10.5	1.
36.0  -3.1  13.754  10.00  10.00  1.9	1.
49.2  6.4   4.471  7.96   7.74  -17.4	5.
44.3  0.9   6.114  9.76  9.60   -7.0	1.
38.5  -3.1  9.482  10.80  10.72  13.1	1.
34.2  -2.1  7.304  11.41  11.29  11.5	1.
28.2  -7.1  6.807  9.83   9.74   7.9	1.
43.9  -2.6  7.239  11.25  11.17  3.1	2.5
335.2  -3.7  20.809  12.94  13.04  -82.2 2.5
166.8  4.3  3.859  11.46  11.27  8.5	1.
183.1  8.9  3.728  8.28  8.07  21.0	1.
165.8  -1.3  11.625  11.26  11.27 -23.3 1.
164.7  2.1 10.144  12.5  12.19  -3.5	1.
232.0  -3.8  5.729  12.63 12.61 50.0	1.
226.0  0.3  4.678  10.53  10.38  32.9	1
231.2  -1.1 4.255  11.43  11.25  24.6	2.5
239.2  -4.2  12.362  12.75  12.77 73.1  1.
227.2 -2.4 4.670  11.78 11.67 39.0	1.
229.2  0.1 6.995 12.25  12.18  66.5	1.
239.9  -4.4  3.126 10.66  10.40  40.1	1.
144.9  3.8  16.413  11.45  11.50  -26.5 1.
145.9  4.7  7.912  9.87  9.77  -36.2	1.
283.2  -7.0  35.541  8.39  8.68  3.6	1.
289.1  0.1   38.756  11.24  11.42  1.7	1.
275.3  -12.3 6.696  10.34  10.25  13.9	1.
285.7  -0.3  3.640  10.74  10.45  -14.5 5.
286.7  1.3  4.860  11.32  11.14  -11.4	2.5
285.6  -1.8  5.346  11.61  11.39  -14.4	2.5
284.8  0.2  3.682  10.84  10.61  8.1	1.
287.2  -3.2  5.544  11.67  11.53  4.0	2.5
287.3  -2.3  5.205  11.81  11.70  -20.9	2.5
288.2  0.0  4.677  11.98  11.74  -13.0	2.5
289.2  -1.2  23.008  13.50  13.55  -14.7 1.
291.3  -4.9  15.716  13.21  13.18  -10.9 1.
291.4  -3.9  12.435  12.27  12.27  -5.6	1.
290.3  -0.8  16.650  11.90  11.99  1.5	1.
285.6  -1.4  18.163  12.53  12.54  1.0	5.
285.8  -3.3  9.769  12.22  12.22 2.1	1.
289.4  -1.6  4.760  13.31  13.17  6.9	2.5
289.4  -1.6  5.495  13.72  13.59  -3.8	2.5
283.6  -1.3  4.933  12.36  12.23  9.0	1.
286.2  -1.7  5.319  13.97  13.79  20.6	2.5
285.7  -0.4  9.762 13.77  13.79  25.3	2.5
288.6  0.2   6.662  13.99  13.84  10.8	2.5
289.5  -0.9  4.266  11.68  11.45  8.6	2.5
288.8  -1.0  4.675  13.24  13.07  -1.3	2.5
290.1   1.5  7.719  10.10  10.05  -19.0	1.
286.9  0.6  16.329  14.13  14.18  -14.5	2.5
288.4  -1.3 5.664  13.83  13.65  14.0	2.5
287.8  0.7  13.454  13.45  13.52  13.2	2.5
288.7 -0.4  23.254  14.32  14.47  29.9	2.5
289.9 -1.0  7.639  13.60  13.50  39.7	2.5
289.6  -0.1 4.586  13.14  12.90  -13.0	2.5
290.5  -2.1  10.356  13.22  13.22 -10.8	2.5
290.9  -0.4  10.274  13.42  13.32  -3.1	2.5
291.1  0.6  10.717  12.59  12.58  -7.3	1.
288.4  0.3  3.578  13.10  12.82  -1.6	2.5
290.3  2.5  4.431  10.96  10.75  -20.6	1.
289.2  -1.8  4.055  13.56  13.29  32.1	2.5
284.7  -1.9  4.159  11.95  11.72  -8.5	1.
285.3  -1.8  5.092  13.45  13.26  5.9	2.5
289.1   -0.8  5.336  13.53  13.34  3.8	2.5
289.3  -0.9  13.606  13.96  13.99  39.3	5.
291.5  -1.1  7.533  10.95  10.91  -14.9 1.
114.5  0.8  6.296  10.83  10.69  -24.5	1.
129.0  -4.6  14.798  12.47  12.57  -71.3 1.
115.3  -3.3  12.135  12.36  12.36  -70.5 1.
133.5  8.5  1.949  7.31  6.95  -7.0	1.
109.7  -1.6 5.441  11.61  11.46  -38.0	1.
118.2  -4.1  4.071  11.54  11.33  -47.1	1.
134.8  -1.2  13.627  12.15  12.12  -45.9 1.
125.5  -1.6  4.259  12.88  12.72  -51.0	1.
130.4  -2.1  6.208  12.74  12.65  -50.5 1.
124.6  -1.1  5.994  12.36  12.35  -58.5 1.
122.8  -2.8  4.502  11.45  11.36  -42.0 1.
120.9  0.1  6.847  12.82  11.77  -44.5	1.
