Name 	l b P V (B-V) (V-I) nmes sourcephot Vr delta_Vr nmes sourceVr
ASAur 	182.3 3.7 3.175 11.94 1.04 1.20  6|6|5 2|2|2 24.71 40.9 9 C/E
CYAur 	160.5 2.0 13.849 11.85 1.62 - -|-|- 3|3|- -14.12 51.5 11 C
EWAur 	165.9 -3.9 2.595 13.51 1.12 - -|-|- 3|3|- -33.27 48.5 8 E
FFAur 	165.0 -2.2 2.121 13.72 1.02 1.31 36|36|7 4/2|4/2|2 -32.33 46.7 5 E
YZAur 	167.3 0.9 18.193 10.33 1.41 - -|-|- 3|3|- -14.81 53.73 17 C
ADCam 	141.2 3.3 11.253 12.56 1.63 - -|-|- 3|3|- -56.50 35.2 5 E/C
BFCas 	118.4 -1.6 3.630 12.51  1.30  1.59  7|7|6 2|2|2 -61.49 39.5 8 E
CTCas 	119.4 0.5 3.811 12.28 1.34 - -|-|- 7|7|- -55.28 38.0 8 E
FOCas 	118.7 -1.8 6.799 14.35 1.39  1.77 45|45|7 3/2|3/2|2 -125.85 38.9 7 E
IOCas 	129.9 -2.5 5.604 13.70 1.18 1.40  34|34|8 3/2|3/2|2 -109.18 48.7 8 E
LTCas 	135.4 3.2 5.905 12.59 1.29 1.58  33|33|6 3/2|3/2|2 -68.00 48.9 7 E
AOCMa 	239.9 -4.9 5.816 12.08 - 1.63 16|-|16 1|-|1 80.99 44.4 6 E
AAGem 	184.6 2.7 11.302 9.73 1.10 1.18 -|-|- 3|3|5 18.63 42.0 8 C
BWGem	187.9 3.4 2.635 12.02  1.08  1.32  17|17|13 2|2|2 36.90 44.7 6 C
AAMon 	217.1 -0.3 3.938 12.74 1.45 1.66 19|13|18 1/2|2|1/2 66.54 41.0 8 E/C
CUMon 	210.8 -4.2 4.708 13.63 1.47 1.72 15|10|15 1/2|2|1/2 63.84 41.0 6 E
EEMon 	220.0 4.8 4.809 13.03 1.11 1.35 16|16|6 2/3|2/3|2 68.90  - 4 C
FGMon 	221.7 -0.1 4.497 13.29 1.28 1.54 15|8|15 1/2|2|1/2 88.29 37.9 5 C
FIMon 	221.5 1.0 3.288 12.94 1.19 1.40 19|10|17 1/2|2|1/2 86.09 41.6 6 C
FTMon 	205.9 -4.8 3.422 12.76 1.10 1.33 22|14|16 1/2|2|1/2 55.35 49.7 9 E
TWMon 	212.8 -0.2 7.097 12.57 - 1.63 8|-|8 1|-|1 82.99 35.4 5 E
TXMon 	214.1 -0.8 8.702 10.96 1.12 1.33 -|-|- 3|3|5 65.28  - 5 C
TZMon	214.0 1.3 7.428 10.79 1.15 1.34 15|-|15 1|7|1 53.59 41.8 14 C
VZMon 	200.1 1.0 5.091 13.60 1.62  1.96 46|28|17 1|-|1 32.96 33.6 5 E
WWMon 	202.7 0.3 4.662 12.54 1.22 1.39  26|19|11 1/4|3|1/2 52.51 51.7 6 E
XXMon 	215.5 -1.1 5.456 11.93 1.19 1.42 8|-|8 1|7|1 66.34 43.3 7 C
YYMon 	220.1 -2.9 3.455 13.14 1.23 - -|-|- 3|3|- - - - -
V447Mon 208.1 0.5 2.484 14.11 1.57 1.83  22|12|17 1/2|2|1/2 55.59 50.8 9 E
V495Mon 213.8 -4.5 4.097 12.42 1.33 1.46 18|8|18 1/2|2|1/2 67.44 36.6 8 E
V508Mon 208.9 0.9 4.134 10.49 0.91 - -|-|- 6|7|- 59.35 27.21 23 8
V510Mon 210.2 0.3 7.459 12.66 1.53 1.81 13|-|13 1|7|1 63.25 28.47 6 E
CROri 	195.9 -3.9 4.911 12.30 1.16 1.41 -|-|5 3|3|1 23.62  35.9 6 C
CSOri 	198.0 -4.5 3.889 11.39 0.95 1.13 -|-|7 3|3|1 38.30 37.2 7 C
BMPer 	155.7 -0.1 22.952 10.50 1.89 - 21|21|- 4|4|- -43.86 58.2 16 C/E
GPPer 	157.9 -3.8 2.042 13.88 1.06 1.34 22|22|8 2|2|2 -51.00   - 3 E
HQPer 	163.0 -3.3 8.636 11.60 1.23 - 20|20|- 4|4|- -34.80  26.8 6 E
HZPer 	157.2 -2.5 11.279 13.83  2.18  2.58  24|6|6 4/2|2|2 -29.68 50.3 7 E
OTPer 	157.2 0.6 26.064 13.55  2.32  2.65   27|27|6 4/2|4/2|2 -44.40 52.4 6 E
SVPer 	162.6 -1.5 11.129 8.99 1.04 1.24 -|-|- 3|3|5 -5.12 48.8 9 C
UXPer 	133.6 -3.1 4.566 11.61 1.03 - -|-|- 3|3|- -51.83 43.1 12 C
BCPup 	238.3 -2.7 3.544 13.88 - 1.61 13|-|13 1|-|1 93.70 41.7 5 E
CKPup 	239.8 -4.2 7.418 13.35 - 1.72 13|-|13 1|-|1 125.06 42.9 5 E
HWPup 	244.8 0.8 13.453 12.13 1.37 1.54 -|-|- 3|3|5 117.31 42.2 11 C
VWPup 	235.4 -0.6 4.285 11.40 1.11 1.32 12|-|12 1|7|1 58.37 40.6 8 C/E
VZPup 	243.4 -3.3 23.164 9.60 1.26 1.38 -|-|- 3|3|5 63.30 - 45 9
WWPup 	237.4 1.0 5.517 10.62 0.93 1.09 11|-|10 1|7|1 89.79 45.4 9 C
WYPup 	241.8 2.7 5.251 10.61 0.83 0.97 14|-|14 1|7|1 71.73 45.8 8 C
EZVel 	274.9 -1.9 34.535 12.40 1.81 2.07 -|-|- 3|3|5 92.65 50.8 9 C/10
