Source l b Parallax μx μy vLSR Ref.
EC95/Serpens 		31.5615 +5.3303 2.410   0.020 +0.70   0.02 -3.64   0.10 7  5 5,8
G059.78+00.06 		59.7829 +0.0647 0.463   0.020 -1.65   0.03 -5.12   0.08 25   3 25,32
ON1a 			69.5402 -0.9755 0.406   0.031 -3.19   0.37 -5.22   0.25 12   5 1,24,25,27
G074.03-01.71 		74.0343 -1.7140 0.629   0.017 -3.79   0.18 -4.88   0.25 5  5 1,4
G075.76+00.33 		75.7610 +0.3400 0.285   0.022 -3.08   0.06 -4.56   0.08 -9  9 1,25
G075.78+00.34/ON2Nb 	75.7821 +0.3428 0.271   0.022 -2.79   0.10 -4.69   0.12 1   5 1,2,25
G076.38-00.61 		76.3809 -0.6177 0.770   0.053 -3.73   3.00 -3.84   3.00 -2  5 1,4
IRAS20126+4104c 	78.1224 +3.6328 0.610   0.020 -4.14   0.13 -4.14   0.13 -4  5 4,22
AFGL2591 		78.8867 +0.7090 0.300   0.010 -1.20   0.32 -4.80   0.12 -6   7 25,28
IRAS20290+4052 		79.7358 +0.9905 0.737   0.062 -2.84   0.09 -4.14   0.54 -3  5 4,28
G079.87+01.17 		79.8769 +1.1770 0.620   0.027 -3.23   1.31 -5.19   1.31 -5   10 1,4
NMLCyg 			80.7984 -1.9209 0.620   0.047 -1.55   0.42 -4.59   0.41 -3   3 15,34
DR20			80.8615 +0.3834 0.687   0.038 -3.29   0.13 -4.83   0.26 -3  5 4,28
DR21 			81.7524 +0.5908 0.666   0.035 -2.84   0.15 -3.80   0.22 -3  3 7,28
W75N 			81.8713 +0.7807 0.772   0.042 -1.97   0.10 -4.16   0.15 7   3 25,28
G090.21+02.32 		90.2105 +2.3244 1.483   0.038 -0.67   3.13 -0.90   3.13 -3  5 1,4
G092.67+03.07 		92.6712 +3.0712 0.613   0.020 -0.69   0.26 -2.25   0.33 -5   10 1,4
G105.41+09.87 		105.4154 +9.8783 1.129   0.063 -0.21   2.38 -5.49   2.38 -10  5 1,25
IRAS22198+6336 		107.2982 +5.6398 1.309   0.047 -2.47   0.21 +0.26   0.40 -11   5 4,10,13
L1206 			108.1845 +5.5188 1.289   0.153 +0.27   0.23 -1.40   1.95 -11   3 20,27
CepA 			109.8713 +2.1143 1.430   0.080 +0.50   1.10 -3.70   0.20 -7   5 21,25
L1287 			121.2978 +0.6588 1.077   0.039 -0.86   0.11 -2.29   0.56 -23   5 25,27
L1448C 			158.0625 -21.4203 4.310   0.330 +21.90   0.70 -23.10   3.30 10  7 3,12
SVS13/NGC1333 		158.3474 -20.5551 4.250   0.320 +14.25   1.30 -8.95   1.75 7   3 11,29
Oriond 			209.0071 -19.3854 2.408   0.033 +3.30   1.50 +0.10   1.50 3   5 9,16,19,31
G232.62+00.99		232.6205 +0.9956 0.596   0.035 -2.17   0.06 +2.09   0.46 21  3 4,26
VYCMae 			239.3526 -5.0655 0.855   0.080 -2.80   0.20 +2.60   0.20 20   3 6,23,33
DoAr21/Ophiuchus 	353.0157 +16.9815 8.200   0.370 -26.47   0.92 -28.23   0.73 3   5 17,18
S1/Ophiuchus 		353.0992 +16.8943 8.550   0.500 -3.88   0.87 -31.55   0.69 3   5 17,18
IRAS16293-2422		353.9354 +15.8393 5.600   1.500 -20.60   0.70 -32.40   2.00 4   3 14,30
