No	Name	PK		Dist	S5GHz	Diam	Tb	Rad	Mi	DMi	DTb
1	IC4634 	0+12.1 		4.40 	100 	5.5 	234.00 	0.059 	7e-02 	3.54 	3.76
2	NGC6369 2+05.1 		0.92	2002 	28.6 	173.00 	0.064 	8e-02 	0.77 	0.79
3	M1-37 	2-03.3 		6.30 	15 	2.7 	145.00 	0.041 	2e-02 	8.79 	8.87
4	M1-38 	2-03.5 		6.10 	24 	3.6 	131.00 	0.053 	4e-02 	6.89 	6.87
5	H1-54 	2-04.1		11.40 	31 	1.2	1520.00 0.033 	5e-02 	7.39 	9.64
6	IC4776 	2-13.1 		6.30 	71 	7.0 	102.00 	0.107 	2e-01 	3.93 	3.82
7	IC4673 	3-02.3 		3.60 	62 	17.0 	15.20 	0.148 	2e-01 	3.60 	2.84
8	NGC6565 3-04.5 		1.90 	37 	9.6 	28.40 	0.044 	1e-02 	4.91 	4.14
9	M2-30 	3-04.8		10.30 	14 	3.5 	80.80 	0.087 	1e-01 	8.68 	8.20
10	M1-25 	4+04.1		10.00 	57 	3.2 	393.00 	0.078 	2e-01 	4.89 	5.50
11	M2-29 	4-03.1 		3.80 	8 	3.5 	46.20 	0.032 	7e-03	10.98 	9.76
12	NGC6620 5-06.1 		4.30 	20 	5.0 	58.00 	0.052 	3e-02 	6.98 	6.36
13	H1-65 	7-04.1 		9.50 	10 	2.3 	134.00 	0.053 	4e-02	10.70	10.67
14	VY2-1 	7-06.2		12.90 	37 	3.7 	191.00 	0.116 	4e-01 	5.72 	5.94
15	HE2-260 8+06.1		12.00 	13 	1.0 	919.00 	0.029 	3e-02	10.96	13.51
16	M1-40 	8-01.1 		1.70 	208 	4.3 	795.00 	0.018 	7e-03 	2.71 	3.29
17	NGC6644 8-07.2 		3.20 	97 	3.1 	713.00 	0.024 	1e-02 	3.93 	4.72
18	NGC6309 9+14.1 		3.90 	151 	13.8 	56.00 	0.130 	3e-01 	2.57 	2.33
19	NGC6629 9-05.1 		1.80 	275 	15.0 	86.40 	0.065 	6e-02 	1.97 	1.88
20	M2-9 	10+18.2 	4.50 	36 	46.0 	1.20 	0.502 	1e+00 	3.86 	2.30
21	NGC6439 11+05.1 	5.50 	55 	4.0 	243.00 	0.053 	6e-02 	4.79 	5.10
22	M2-15 	11+06.1 	4.80 	12 	7.5 	15.70 	0.087 	5e-02 	8.05 	6.36
23	SN1 	13+32.1		11.90 	7 	3.0 	55.00 	0.087 	9e-02	11.90	10.78
24	M1-46 	16-01.1 	1.30 	81 	12.0 	39.80 	0.038 	1e-02 	3.41 	2.98
25	M1-61 	19-05.1 	7.00 	97 	1.8	2120.00 0.031 	4e-02 	4.29 	5.79
26	SA1-8 	20-05.1 	2.20 	11 	5.6 	24.80 	0.030 	4e-03 	8.90 	7.40
27	IC4846 	27-09.1 	9.60 	43 	2.9 	361.00 	0.067 	1e-01 	5.59 	6.23
28	NGC6741 33-02.1 	0.72 	230 	7.8 	267.00 	0.014 	2e-03 	2.36 	2.54
29	NGC6572 34+11.1 	2.90	1374 	14.6 	456.00 	0.103 	4e-01 	1.01 	1.15
30	NGC7293 36-57.1 	0.16	1292	600.0 	0.21 	0.233 	8e-03 	0.51 	0.52
31	NGC6790 37-06.1 	5.70 	240 	1.8	5200.00 0.025 	4e-02 	2.93 	4.39
32	NGC7009 37-34.1 	0.95 	750 	26.8 	73.80 	0.062 	5e-02 	1.18 	1.10
33	CN3-1 	38+12.1 	5.00 	75 	4.6 	251.00 	0.056 	7e-02 	4.11 	4.39
34	NGC6210 43+37.1 	1.90 	311 	16.2 	83.80 	0.075 	8e-02 	1.85 	1.75
35	VY2-2 	45-02.1 	3.20 	49 	0.6	9620.00 0.005 	8e-04 	6.82	10.88
36	HU2-1 	51+09.1		10.10 	110 	1.8	2400.00 0.044 	1e-01 	4.07 	5.58
37	M1-72 	54-02.1		10.90 	26 	0.7	3700.00 0.018 	2e-02 	8.68	12.54
38	NGC6891 54-12.1 	2.60 	105 	12.6 	46.70 	0.079 	7e-02 	3.03 	2.70
39	IC4997 	58-10.1 	7.20 	127 	1.6	3510.00 0.028 	5e-02 	3.91 	5.58
40	NGC6853 60-03.1 	0.28	1325	410.0 	0.56 	0.278 	2e-01 	0.60 	0.33
41	NGC6886 60-07.2 	7.20 	108 	7.4 	139.00 	0.129 	4e-01 	3.27 	3.28
42	NGC6720 63+13.1 	0.47 	360 	70.0 	5.19 	0.080 	2e-02 	1.37 	0.96
43	NGC7094 66-28.1 	2.00 	7 	95.0 	0.05 	0.461 	2e-01 	6.82 	2.90
44	NGC6881 74+02.1 	6.40 	120 	2.6	1250.00 0.040 	7e-02 	3.70 	4.73
45	NGC6884 82+07.1 	5.40 	200 	6.0 	393.00 	0.079 	2e-01 	2.61 	2.93
46	NGC6826 83+12.1 	1.20 	385 	25.4 	42.20 	0.074 	6e-02 	1.57 	1.38
47	HU1-2 	86-08.1 	5.10 	155 	8.2 	163.00 	0.101 	2e-01 	2.76 	2.82
48	IC5117 	89-05.1 	7.90 	175 	1.5	5500.00 0.029 	6e-02 	3.45 	5.17
49	IC5217	100-05.1 	6.00 	163 	6.8 	249.00 	0.099 	3e-01 	2.79 	2.98
50	ME2-2	100-08.1	14.50 	40 	1.2	1960.00 0.042 	9e-02 	6.64 	8.91
51	NGC7662	106-17.1 	1.60 	631 	26.0 	66.00 	0.101 	2e-01 	1.27 	1.18
52	NGC7354	107+02.1 	2.10 	579 	20.0 	102.00 	0.102 	2e-01 	1.38 	1.34
