No	Name	PK		S5GHz	Diam	Ref	Tb	DMi	DTb	Df	D(VSZ)
1	He2-250	000+031 	15.0 	5.6 	6 	33.81 	7.65 	6.36 	7.01 	6.49
2	IC4634	000+121 	100.0 	5.5 	2 	233.65 	3.46 	3.49 	3.47 	3.36
3	PC12	000+171 	19.0 	1.8 	3 	414.48 	8.32 	8.87 	8.60 	8.40
4	M3-43	000-011 	27.2 	3.8 	7 	133.14 	6.35 	6.05 	6.20 	 
5	M2-19	000-015 	14.0 	5.0 	3 	39.58 	8.02 	6.77 	7.40 	6.88
6	M2-21	000-024 	23.0 	3.0 	7 	180.63 	7.07 	6.95 	7.01 	 
7	M3-19	000-026 	7.4 	7.0 	8 	10.67 	9.93 	7.36 	8.62 	8.62
8	M3-22	000-031 	8.7 	6.0 	8 	17.78 	9.52 	7.39 	8.45 	9.33
9	M2-28	000-041 	10.0 	5.0 	7 	28.27 	9.24 	7.54 	8.39 	 
10	M3-23	000-042 	28.0 	12.0 	7 	13.74 	5.21 	3.96 	4.58 	 
11	K1-4	001+011 	25.0 	46.0 	7 	0.84 	4.40 	2.53 	3.46 	 
12	He2-262	001+021 	26.0 	3.1 	3 	191.23 	6.68 	6.60 	6.64 	6.39
13	H1-14	001+051 	22.0 	6.5 	3 	36.80 	6.36 	5.33 	5.85 	5.43
14	H1-15	001+052 	13.0 	4.3 	3 	49.69 	8.48 	7.32 	7.90 	7.38
15	BIM	001-011 	17.0 	4.6 	7 	56.78 	7.50 	6.56 	7.03 	 
16	H1-47	001-031 	10.0 	2.5 	6 	113.09	10.34 	9.68	10.01 	9.53
17	H1-56	001-042 	7.8 	2.5 	6 	88.21	11.47	10.48	10.98	10.39
18	SwSt1	001-062 	216.0 	1.4 	2	7789.20 	3.12 	4.46 	3.79 	 
19	H2-20	002+011 	16.3 	3.8 	7 	79.78 	7.87 	7.12 	7.50 	 
20	M1-37	002+031 	15.0 	2.7 	6 	145.43 	8.61 	8.27 	8.44 	8.08
21	NGC6369	002+051		2002.0 	28.6 	4 	172.99 	0.75 	0.74 	0.75 	0.72
22	H1-11	002+081 	13.0 	6.0 	6 	25.52 	8.04 	6.50 	7.27 	6.68
23	H1-45	002-021 	23.5 	1.6 	7 	648.82 	7.76 	8.65 	8.20 	 
24	M3-20	002-022 	40.0 	4.0 	3 	176.70 	5.35 	5.25 	5.30 	 
25	Pe2-12	002-023 	2.0 	5.0 	3 	5.65	18.17	12.63	15.40 	 
26	M2-23	002-024 	41.0 	0.7 	6	5914.00 	7.02 	9.75 	8.38 	8.52
27	M1-38	002-035 	24.0 	3.6 	6 	130.89 	6.75 	6.42 	6.58 	6.28
28	H1-54	002-041 	31.0 	1.2 	6	1521.60 	7.23 	8.78 	8.01 	7.99
29	M1-42	002-042 	28.5 	9.0 	8 	24.87 	5.42 	4.37 	4.89 	4.78
30	M2-33	002-061 	12.0 	3.6 	6 	65.44 	9.03 	8.01 	8.52 	8.01
31	Cn1-5	002-091 	44.0 	7.0 	3 	63.47 	4.70 	4.16 	4.43 	 
32	IC4776	002-131 	71.0 	7.0 	1 	102.41 	3.84 	3.57 	3.71 	3.53
33	IC5148	002-521 	28.1	120.0 	7 	0.14 	3.59 	1.73 	2.66 	 
34	Hb-4	003+021 	170.0 	7.0 	2 	245.22 	2.66 	2.70 	2.68 	2.60
35	H2-17	003+031 	10.0 	4.0 	3 	44.18 	9.58 	8.18 	8.88 	8.27
36	H2-15	003+051 	2.0 	3.4 	7 	12.23	19.34	14.51	16.92 	 
37	M1-35	003-021 	54.0 	4.4 	3 	197.14 	4.65 	4.61 	4.63 	4.46
38	M2-26	003-022 	5.0 	9.0 	3 	4.36	11.25 	7.62 	9.43 	8.27
39	IC4673	003-023 	62.0 	17.0 	3 	15.16 	3.53 	2.71 	3.12 	2.83
40	Ap1-11	003-041 	5.7 	12.0 	7 	2.80	10.16 	6.59 	8.38 	 
41	H1-59	003-043 	4.2 	6.0 	7 	8.25	12.92 	9.33	11.12 	 
42	H2-41	003-044 	2.0 	7.0 	3 	2.88	17.21	11.19	14.20	12.29
43	NGC6565	003-045 	37.0 	9.6 	1 	28.38 	4.80 	3.92 	4.36 	4.02
44	Ap1-12	003-047 	18.7 	12.0 	7 	9.18 	6.17 	4.51 	5.34 	 
45	M2-30	003-048 	14.0 	3.5 	3 	80.78 	8.50 	7.70 	8.10 	7.65
46	H2-43	003-049 	26.4 	9.0 	7 	23.04 	5.59 	4.48 	5.03 	 
47	M2-36	003-061 	13.0 	7.0 	3 	18.75 	7.84 	6.15 	6.99 	6.37
48	Hb-7	003-141 	30.0 	4.0 	7 	132.53 	6.04 	5.75 	5.90 	8.52
49	Hb-8	003-171 	8.0 	5.0 	7 	22.62	10.15 	8.10 	9.13 	6.89
50	H2-24	004+011 	13.0 	4.6 	7 	43.42 	8.39 	7.15 	7.77 	 
51	H2-25	004+021 	4.0 	4.4 	7 	14.60	13.86	10.59	12.23 	 
52	M1-25	004+041 	57.0 	3.2 	2 	393.43 	4.78 	5.08 	4.93 	4.81
53	H1-24	004+062 	15.0 	4.7 	3 	47.99 	7.87 	6.78 	7.32 	6.84
54	M2-29	004-031 	8.0 	3.5 	3 	46.16	10.75 	9.21 	9.98 	9.31
55	H1-60	004-041 	11.3 	3.8 	7 	55.31 	9.18 	8.01 	8.59 	 
56	M1-44	004-042 	9.0 	4.0 	3 	39.76	10.02 	8.46 	9.24 	8.58
57	M3-26	004-051 	8.0 	7.0 	3 	11.54 	9.61 	7.18 	8.40 	7.57
58	Pe1-12	004-053 	3.4 	12.0 	7 	1.67	12.63 	7.77	10.20 	 
59	M3-29	004-111 	18.7 	8.2 	7 	19.66 	6.56 	5.17 	5.86 	 
60	H1-27	005+041 	18.0 	0.8 	3	1987.90 	9.70	12.09	10.90	10.91
61	M3-12	005+051 	12.5 	7.5 	3 	15.71 	7.88 	6.07 	6.98 	6.34
62	H2-16	005+052 	3.0 	18.0 	3 	0.65	12.46 	6.99 	9.73 	8.03
63	M3-11	005+061 	10.0 	7.0 	3 	14.42 	8.75 	6.68 	7.72 	7.00
64	M2-38	005-051 	8.0 	8.0 	3 	8.84 	9.41 	6.84 	8.13 	7.26
65	NGC6620	005-061 	20.5 	5.0 	3 	57.96 	6.84 	6.00 	6.42	11.17
66	M1-31	006+025 	60.5 	7.0 	8 	87.27 	4.11 	3.76 	3.93 	3.76
67	M1-28	006+032 	20.0 	14.8 	7 	6.45 	5.80 	4.09 	4.94 	 
68	M3-15	006+042 	65.0 	5.4 	6 	157.55 	4.16 	4.03 	4.10 	3.92
69	M1-20	006+081 	51.0 	1.9 	2 	998.53 	5.45 	6.35 	5.90 	5.85
70	M1-41	006-021 	350.0 	76.0 	7 	4.28 	1.34 	0.91 	1.12 	 
71	M2-31	006-033 	51.0 	3.8 	6 	249.63 	4.87 	4.94 	4.91 	4.75
72	Hb-6	007+011 	243.0 	6.0 	3 	477.09 	2.35 	2.55 	2.45 	2.40
73	H1-65	007-041 	10.0 	2.3 	6 	133.61	10.48 	9.98	10.23 	9.76
74	H1-66	007-061 	6.0 	6.6 	3 	9.74	10.95 	8.04 	9.50 	 
75	VY2-1	007-062 	37.0 	3.7 	6 	191.03 	5.60 	5.53 	5.57 	5.36
76	M1-22	007-071 	3.5 	6.0 	7 	6.87	13.95 	9.89	11.92 	 
77	NGC6445	008+031 	368.0 	33.2 	1 	23.60 	1.50 	1.20 	1.35 	1.24
78	He2-260	008+061 	13.0 	1.0 	2 	918.84	10.73	12.38	11.56	11.44
79	M1-40	008-011 	208.0 	4.3 	3 	795.10 	2.65 	3.02 	2.83 	2.80
80	M2-39	008-041 	8.0 	3.2 	7 	55.22	10.91 	9.52	10.21 	 
81	M2-42	008-042 	14.0 	4.0 	3 	61.85 	8.32 	7.34 	7.83 	7.35
82	NGC6644	008-072 	97.0 	3.1 	6 	713.42 	3.84 	4.33 	4.09 	4.03
83	Th4-5	009+041 	16.0 	7.0 	3 	23.08 	7.19 	5.75 	6.47 	5.93
84	A41	009+101 	5.0 	18.4 	7 	1.04	10.02 	5.89 	7.96 	 
85	NGC6309	009+141 	151.0 	13.8 	1 	56.04 	2.51 	2.20 	2.35 	2.21
86	H1-67	009-041 	11.9 	6.0 	8 	23.36 	8.34 	6.68 	7.51 	7.08
87	NGC6629	009-051 	275.0 	15.0 	1 	86.39 	1.92 	1.76 	1.84 	1.74
88	M3-32	009-091 	12.0 	7.6 	7 	14.68 	8.00 	6.12 	7.06 	 
89	M3-33	009-101 	7.5 	6.0 	3 	14.73	10.13 	7.75 	8.94 	8.10
90	NGC6537	010+001 	640.0 	7.4 	1 	826.06 	1.51 	1.73 	1.62 	1.60
91	M2-17	010+041 	10.0 	8.0 	3 	11.04 	8.57 	6.37 	7.47 	6.73
92	M2-9	010+181 	36.0 	46.0 	7 	1.20 	3.77 	2.25 	3.01 	2.54
93	NGC6578	010-011 	170.0 	9.6 	1 	130.38 	2.53 	2.41 	2.47 	2.36
94	IC4732	010-061 	49.0 	4.0 	1 	216.46 	4.92 	4.92 	4.92 	4.75
95	Pe1-13	010-062 	3.0 	7.0 	3 	4.33	14.52 	9.83	12.17	10.66
96	M1-32	011+041 	61.0 	9.0 	3 	53.23 	3.93 	3.42 	3.68 	3.44
97	NGC6439	011+051 	55.0 	4.0 	2 	242.96 	4.68 	4.74 	4.71 	4.55
